Team,Salary,Adjusted Salary
Golden State,178980766,195195980
Brooklyn,174811922,190649447
LA Clippers,168378382,183633046
LA Lakers,164409293,179304361
Milwaukee,160875421,175450332
Utah,149760719,163328668
Philadelphia,148922969,162415018
Miami,140840240,153600014
Indiana,138181486,150700383
Denver,137963926,150463115
Minnesota,137432702,149883767
Boston,136557646,148929426
Phoenix,136476474,148840901
Cleveland,136385911,148742131
Chicago,136083814,148412668
New Orleans,135793968,148096563
Atlanta,135166020,147411722
Toronto,134896484,147117769
Houston,132267085,144250150
Detroit,131120355,142999530
Sacramento,130457848,142277004
Washington,128019790,139618062
San Antonio,127655401,139220659
Orlando,126786646,138273195
Dallas,126696965,138175392
Portland,124788473,136093994
Charlotte,122139566,133205107
New York,120644081,131574134
Memphis,117284457,127910133
Oklahoma City,82022873,89453934
